Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 33 [2560/5000 (50%)]	Loss: 0.686251
Task: 0 Train Epoch: 33 [3840/5000 (75%)]	Loss: 0.326550
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 727/1000(73%)

Task: 0 Train Epoch: 34 [0/5000 (0%)]	Loss: 0.514077
Task: 0 Train Epoch: 34 [1280/5000 (25%)]	Loss: 0.590512
Task: 0 Train Epoch: 34 [2560/5000 (50%)]	Loss: 0.551851
Task: 0 Train Epoch: 34 [3840/5000 (75%)]	Loss: 0.515883
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 756/1000(76%)

Task: 0 Train Epoch: 35 [0/5000 (0%)]	Loss: 0.372979
Task: 0 Train Epoch: 35 [1280/5000 (25%)]	Loss: 0.401664
Task: 0 Train Epoch: 35 [2560/5000 (50%)]	Loss: 0.502715
Task: 0 Train Epoch: 35 [3840/5000 (75%)]	Loss: 0.473873
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 767/1000(77%)

Task: 0 Train Epoch: 36 [0/5000 (0%)]	Loss: 0.550351
Task: 0 Train Epoch: 36 [1280/5000 (25%)]	Loss: 0.359206
Task: 0 Train Epoch: 36 [2560/5000 (50%)]	Loss: 0.440393
Task: 0 Train Epoch: 36 [3840/5000 (75%)]	Loss: 0.410299
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 730/1000(73%)

Task: 0 Train Epoch: 37 [0/5000 (0%)]	Loss: 0.668175
Task: 0 Train Epoch: 37 [1280/5000 (25%)]	Loss: 0.539926
Task: 0 Train Epoch: 37 [2560/5000 (50%)]	Loss: 0.518270
Task: 0 Train Epoch: 37 [3840/5000 (75%)]	Loss: 0.467624
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 747/1000(75%)

Task: 0 Train Epoch: 38 [0/5000 (0%)]	Loss: 0.464437
Task: 0 Train Epoch: 38 [1280/5000 (25%)]	Loss: 0.518612
Task: 0 Train Epoch: 38 [2560/5000 (50%)]	Loss: 0.402651
Task: 0 Train Epoch: 38 [3840/5000 (75%)]	Loss: 0.409863
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 737/1000(74%)

Task: 0 Train Epoch: 39 [0/5000 (0%)]	Loss: 0.372185
Task: 0 Train Epoch: 39 [1280/5000 (25%)]	Loss: 0.524774
Task: 0 Train Epoch: 39 [2560/5000 (50%)]	Loss: 0.420584
Task: 0 Train Epoch: 39 [3840/5000 (75%)]	Loss: 0.529560
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 40 [0/5000 (0%)]	Loss: 0.425922
Task: 0 Train Epoch: 40 [1280/5000 (25%)]	Loss: 0.461561
Task: 0 Train Epoch: 40 [2560/5000 (50%)]	Loss: 0.451490
Task: 0 Train Epoch: 40 [3840/5000 (75%)]	Loss: 0.420501
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 770/1000(77%)

Task: 0 Train Epoch: 41 [0/5000 (0%)]	Loss: 0.333827
Task: 0 Train Epoch: 41 [1280/5000 (25%)]	Loss: 0.439686
Task: 0 Train Epoch: 41 [2560/5000 (50%)]	Loss: 0.449828
Task: 0 Train Epoch: 41 [3840/5000 (75%)]	Loss: 0.531308
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 752/1000(75%)

Task: 0 Train Epoch: 42 [0/5000 (0%)]	Loss: 0.380761
Task: 0 Train Epoch: 42 [1280/5000 (25%)]	Loss: 0.635960
Task: 0 Train Epoch: 42 [2560/5000 (50%)]	Loss: 0.384769
Task: 0 Train Epoch: 42 [3840/5000 (75%)]	Loss: 0.379465
