Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0 Train Epoch: 31 [3840/5000 (75%)]	Loss: 0.340649
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 778/1000(78%)

Task: 0 Train Epoch: 32 [0/5000 (0%)]	Loss: 0.345143
Task: 0 Train Epoch: 32 [1280/5000 (25%)]	Loss: 0.280584
Task: 0 Train Epoch: 32 [2560/5000 (50%)]	Loss: 0.324091
Task: 0 Train Epoch: 32 [3840/5000 (75%)]	Loss: 0.403383
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 779/1000(78%)

Task: 0 Train Epoch: 33 [0/5000 (0%)]	Loss: 0.510610
Task: 0 Train Epoch: 33 [1280/5000 (25%)]	Loss: 0.247818
Task: 0 Train Epoch: 33 [2560/5000 (50%)]	Loss: 0.318913
Task: 0 Train Epoch: 33 [3840/5000 (75%)]	Loss: 0.250922
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 780/1000(78%)

Task: 0 Train Epoch: 34 [0/5000 (0%)]	Loss: 0.307461
Task: 0 Train Epoch: 34 [1280/5000 (25%)]	Loss: 0.283341
Task: 0 Train Epoch: 34 [2560/5000 (50%)]	Loss: 0.241593
Task: 0 Train Epoch: 34 [3840/5000 (75%)]	Loss: 0.302433
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 753/1000(75%)

Task: 0 Train Epoch: 35 [0/5000 (0%)]	Loss: 0.519943
Task: 0 Train Epoch: 35 [1280/5000 (25%)]	Loss: 0.402870
Task: 0 Train Epoch: 35 [2560/5000 (50%)]	Loss: 0.509029
Task: 0 Train Epoch: 35 [3840/5000 (75%)]	Loss: 0.279097
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 781/1000(78%)

Task: 0 Train Epoch: 36 [0/5000 (0%)]	Loss: 0.316910
Task: 0 Train Epoch: 36 [1280/5000 (25%)]	Loss: 0.355376
Task: 0 Train Epoch: 36 [2560/5000 (50%)]	Loss: 0.289023
Task: 0 Train Epoch: 36 [3840/5000 (75%)]	Loss: 0.244723
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 37 [0/5000 (0%)]	Loss: 0.290924
Task: 0 Train Epoch: 37 [1280/5000 (25%)]	Loss: 0.225735
Task: 0 Train Epoch: 37 [2560/5000 (50%)]	Loss: 0.251982
Task: 0 Train Epoch: 37 [3840/5000 (75%)]	Loss: 0.313171
Task: 0   Test set: Avg. loss: 0.0007, Accuracy: 797/1000(80%)

Task: 0 Train Epoch: 38 [0/5000 (0%)]	Loss: 0.146555
Task: 0 Train Epoch: 38 [1280/5000 (25%)]	Loss: 0.309438
Task: 0 Train Epoch: 38 [2560/5000 (50%)]	Loss: 0.264176
Task: 0 Train Epoch: 38 [3840/5000 (75%)]	Loss: 0.219440
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 778/1000(78%)

Task: 0 Train Epoch: 39 [0/5000 (0%)]	Loss: 0.309229
Task: 0 Train Epoch: 39 [1280/5000 (25%)]	Loss: 0.458693
Task: 0 Train Epoch: 39 [2560/5000 (50%)]	Loss: 0.257793
Task: 0 Train Epoch: 39 [3840/5000 (75%)]	Loss: 0.320064
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 779/1000(78%)

Task: 0 Train Epoch: 40 [0/5000 (0%)]	Loss: 0.149920
Task: 0 Train Epoch: 40 [1280/5000 (25%)]	Loss: 0.248156
Task: 0 Train Epoch: 40 [2560/5000 (50%)]	Loss: 0.357147
Task: 0 Train Epoch: 40 [3840/5000 (75%)]	Loss: 0.247897
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 783/1000(78%)

Task: 0 Train Epoch: 41 [0/5000 (0%)]	Loss: 0.193370
Task: 0 Train Epoch: 41 [1280/5000 (25%)]	Loss: 0.178561
Task: 0 Train Epoch: 41 [2560/5000 (50%)]	Loss: 0.184488
Task: 0 Train Epoch: 41 [3840/5000 (75%)]	Loss: 0.193566
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 785/1000(78%)

Task: 0 Train Epoch: 42 [0/5000 (0%)]	Loss: 0.288438
Task: 0 Train Epoch: 42 [1280/5000 (25%)]	Loss: 0.201969
Task: 0 Train Epoch: 42 [2560/5000 (50%)]	Loss: 0.255380
Task: 0 Train Epoch: 42 [3840/5000 (75%)]	Loss: 0.226969
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 792/1000(79%)

Task: 0 Train Epoch: 43 [0/5000 (0%)]	Loss: 0.240253
Task: 0 Train Epoch: 43 [1280/5000 (25%)]	Loss: 0.339171
Task: 0 Train Epoch: 43 [2560/5000 (50%)]	Loss: 0.181863
Task: 0 Train Epoch: 43 [3840/5000 (75%)]	Loss: 0.165743
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 792/1000(79%)

Task: 0 Train Epoch: 44 [0/5000 (0%)]	Loss: 0.281754
Task: 0 Train Epoch: 44 [1280/5000 (25%)]	Loss: 0.289713
Task: 0 Train Epoch: 44 [2560/5000 (50%)]	Loss: 0.186684
Task: 0 Train Epoch: 44 [3840/5000 (75%)]	Loss: 0.271591
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 784/1000(78%)

Task: 0 Train Epoch: 45 [0/5000 (0%)]	Loss: 0.171956
Task: 0 Train Epoch: 45 [1280/5000 (25%)]	Loss: 0.194444
Task: 0 Train Epoch: 45 [2560/5000 (50%)]	Loss: 0.240690
Task: 0 Train Epoch: 45 [3840/5000 (75%)]	Loss: 0.118844
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 789/1000(79%)

Task: 0 Train Epoch: 46 [0/5000 (0%)]	Loss: 0.210328
Task: 0 Train Epoch: 46 [1280/5000 (25%)]	Loss: 0.248422
Task: 0 Train Epoch: 46 [2560/5000 (50%)]	Loss: 0.207893
Task: 0 Train Epoch: 46 [3840/5000 (75%)]	Loss: 0.079275
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 765/1000(76%)

Task: 0 Train Epoch: 47 [0/5000 (0%)]	Loss: 0.177828
Task: 0 Train Epoch: 47 [1280/5000 (25%)]	Loss: 0.320373
Task: 0 Train Epoch: 47 [2560/5000 (50%)]	Loss: 0.219538
Task: 0 Train Epoch: 47 [3840/5000 (75%)]	Loss: 0.274686
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 780/1000(78%)

Task: 0 Train Epoch: 48 [0/5000 (0%)]	Loss: 0.195664
Task: 0 Train Epoch: 48 [1280/5000 (25%)]	Loss: 0.112477
Task: 0 Train Epoch: 48 [2560/5000 (50%)]	Loss: 0.484718
Task: 0 Train Epoch: 48 [3840/5000 (75%)]	Loss: 0.230219
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 766/1000(77%)

Task: 0 Train Epoch: 49 [0/5000 (0%)]	Loss: 0.261136
Task: 0 Train Epoch: 49 [1280/5000 (25%)]	Loss: 0.526264
Task: 0 Train Epoch: 49 [2560/5000 (50%)]	Loss: 0.258960
Task: 0 Train Epoch: 49 [3840/5000 (75%)]	Loss: 0.339782
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 784/1000(78%)

Task: 0 Train Epoch: 50 [0/5000 (0%)]	Loss: 0.199775
Task: 0 Train Epoch: 50 [1280/5000 (25%)]	Loss: 0.345274
Task: 0 Train Epoch: 50 [2560/5000 (50%)]	Loss: 0.202404
Task: 0 Train Epoch: 50 [3840/5000 (75%)]	Loss: 0.202739
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 786/1000(79%)

Task: 0 Train Epoch: 51 [0/5000 (0%)]	Loss: 0.122618
Task: 0 Train Epoch: 51 [1280/5000 (25%)]	Loss: 0.436982
Task: 0 Train Epoch: 51 [2560/5000 (50%)]	Loss: 0.269165
Task: 0 Train Epoch: 51 [3840/5000 (75%)]	Loss: 0.290694
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 798/1000(80%)

Task: 0 Train Epoch: 52 [0/5000 (0%)]	Loss: 0.217954
Task: 0 Train Epoch: 52 [1280/5000 (25%)]	Loss: 0.227618
Task: 0 Train Epoch: 52 [2560/5000 (50%)]	Loss: 0.218567
Task: 0 Train Epoch: 52 [3840/5000 (75%)]	Loss: 0.235750
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 786/1000(79%)

Task: 0 Train Epoch: 53 [0/5000 (0%)]	Loss: 0.253511
Task: 0 Train Epoch: 53 [1280/5000 (25%)]	Loss: 0.155193
Task: 0 Train Epoch: 53 [2560/5000 (50%)]	Loss: 0.226569
Task: 0 Train Epoch: 53 [3840/5000 (75%)]	Loss: 0.134829
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 795/1000(80%)

Task: 0 Train Epoch: 54 [0/5000 (0%)]	Loss: 0.090919
Task: 0 Train Epoch: 54 [1280/5000 (25%)]	Loss: 0.111617
Task: 0 Train Epoch: 54 [2560/5000 (50%)]	Loss: 0.084220
Task: 0 Train Epoch: 54 [3840/5000 (75%)]	Loss: 0.116270
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 776/1000(78%)

Task: 0 Train Epoch: 55 [0/5000 (0%)]	Loss: 0.160734
Task: 0 Train Epoch: 55 [1280/5000 (25%)]	Loss: 0.120514
Task: 0 Train Epoch: 55 [2560/5000 (50%)]	Loss: 0.165771
Task: 0 Train Epoch: 55 [3840/5000 (75%)]	Loss: 0.187182
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 778/1000(78%)

Task: 0 Train Epoch: 56 [0/5000 (0%)]	Loss: 0.234537
Task: 0 Train Epoch: 56 [1280/5000 (25%)]	Loss: 0.163872
Task: 0 Train Epoch: 56 [2560/5000 (50%)]	Loss: 0.254477
Task: 0 Train Epoch: 56 [3840/5000 (75%)]	Loss: 0.324332
Task: 0   Test set: Avg. loss: 0.0013, Accuracy: 735/1000(74%)

Task: 0 Train Epoch: 57 [0/5000 (0%)]	Loss: 0.270119
Task: 0 Train Epoch: 57 [1280/5000 (25%)]	Loss: 0.228475
Task: 0 Train Epoch: 57 [2560/5000 (50%)]	Loss: 0.207216
Task: 0 Train Epoch: 57 [3840/5000 (75%)]	Loss: 0.098316
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 789/1000(79%)

Task: 0 Train Epoch: 58 [0/5000 (0%)]	Loss: 0.116824
Task: 0 Train Epoch: 58 [1280/5000 (25%)]	Loss: 0.191559
Task: 0 Train Epoch: 58 [2560/5000 (50%)]	Loss: 0.138952
Task: 0 Train Epoch: 58 [3840/5000 (75%)]	Loss: 0.149752
Task: 0   Test set: Avg. loss: 0.0010, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 59 [0/5000 (0%)]	Loss: 0.249030
Task: 0 Train Epoch: 59 [1280/5000 (25%)]	Loss: 0.145933
Task: 0 Train Epoch: 59 [2560/5000 (50%)]	Loss: 0.077762
Task: 0 Train Epoch: 59 [3840/5000 (75%)]	Loss: 0.115134
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 788/1000(79%)

Task: 0 Train Epoch: 60 [0/5000 (0%)]	Loss: 0.077706
Task: 0 Train Epoch: 60 [1280/5000 (25%)]	Loss: 0.085433
Task: 0 Train Epoch: 60 [2560/5000 (50%)]	Loss: 0.066103
Task: 0 Train Epoch: 60 [3840/5000 (75%)]	Loss: 0.166001
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 799/1000(80%)

Task: 0 Train Epoch: 61 [0/5000 (0%)]	Loss: 0.112063
Task: 0 Train Epoch: 61 [1280/5000 (25%)]	Loss: 0.042990
Task: 0 Train Epoch: 61 [2560/5000 (50%)]	Loss: 0.109333
Task: 0 Train Epoch: 61 [3840/5000 (75%)]	Loss: 0.064116
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 810/1000(81%)

Task: 0 Train Epoch: 62 [0/5000 (0%)]	Loss: 0.054212
Task: 0 Train Epoch: 62 [1280/5000 (25%)]	Loss: 0.079734
Task: 0 Train Epoch: 62 [2560/5000 (50%)]	Loss: 0.051523
Task: 0 Train Epoch: 62 [3840/5000 (75%)]	Loss: 0.036662
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 805/1000(81%)

Task: 0 Train Epoch: 63 [0/5000 (0%)]	Loss: 0.114067
Task: 0 Train Epoch: 63 [1280/5000 (25%)]	Loss: 0.053393
Task: 0 Train Epoch: 63 [2560/5000 (50%)]	Loss: 0.028401
Task: 0 Train Epoch: 63 [3840/5000 (75%)]	Loss: 0.099439
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 64 [0/5000 (0%)]	Loss: 0.086639
Task: 0 Train Epoch: 64 [1280/5000 (25%)]	Loss: 0.051579
Task: 0 Train Epoch: 64 [2560/5000 (50%)]	Loss: 0.030608
Task: 0 Train Epoch: 64 [3840/5000 (75%)]	Loss: 0.049052
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 65 [0/5000 (0%)]	Loss: 0.075994
Task: 0 Train Epoch: 65 [1280/5000 (25%)]	Loss: 0.062840
Task: 0 Train Epoch: 65 [2560/5000 (50%)]	Loss: 0.066293
Task: 0 Train Epoch: 65 [3840/5000 (75%)]	Loss: 0.049453
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 801/1000(80%)

Task: 0 Train Epoch: 66 [0/5000 (0%)]	Loss: 0.074709
Task: 0 Train Epoch: 66 [1280/5000 (25%)]	Loss: 0.044781
Task: 0 Train Epoch: 66 [2560/5000 (50%)]	Loss: 0.029231
Task: 0 Train Epoch: 66 [3840/5000 (75%)]	Loss: 0.041149
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 802/1000(80%)

Task: 0 Train Epoch: 67 [0/5000 (0%)]	Loss: 0.065148
Task: 0 Train Epoch: 67 [1280/5000 (25%)]	Loss: 0.045345
Task: 0 Train Epoch: 67 [2560/5000 (50%)]	Loss: 0.063706
Task: 0 Train Epoch: 67 [3840/5000 (75%)]	Loss: 0.083342
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 807/1000(81%)

Task: 0 Train Epoch: 68 [0/5000 (0%)]	Loss: 0.033043
Task: 0 Train Epoch: 68 [1280/5000 (25%)]	Loss: 0.044951
Task: 0 Train Epoch: 68 [2560/5000 (50%)]	Loss: 0.067453
Task: 0 Train Epoch: 68 [3840/5000 (75%)]	Loss: 0.121833
Task: 0   Test set: Avg. loss: 0.0009, Accuracy: 806/1000(81%)

Task: 0 Train Epoch: 69 [0/5000 (0%)]	Loss: 0.041074
Task: 0 Train Epoch: 69 [1280/5000 (25%)]	Loss: 0.047682
Task: 0 Train Epoch: 69 [2560/5000 (50%)]	Loss: 0.048468
Task: 0 Train Epoch: 69 [3840/5000 (75%)]	Loss: 0.017770
